Facility Name,Site Address,Last Inspection Date,Facility Type,url_entity_partial,category,Community,Program Area,Closed Date,Reason,Reopen Date,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Soo Blaster - Restaurant,345 Queen St  Sault Ste Marie ON P6A 1Z2,18-Apr-2024,Restaurant,location.href = '/Portal/Facility/Details/72022a6d-2871-408e-8786-8cb9720a98b1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/72022a6d-2871-408e-8786-8cb9720a98b1
Soo Curlers Association - The House Restaurant - Restaurant,124 Anita Blvd  Sault Ste. Marie ON P6B 4P9,06-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/83e2f58f-1a12-4a76-8768-0ad9508f1300' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/83e2f58f-1a12-4a76-8768-0ad9508f1300
Soo Mill - Convenience / Variety,539 Great Northern Rd  Sault Ste. Marie ON P6B 5A1,05-Apr-2024,Convenience / Variety,location.href = '/Portal/Facility/Details/a728555f-5158-4635-8763-f5986b7496e0' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a728555f-5158-4635-8763-f5986b7496e0
Soo Minor Baseball Association Canteen - Snack Bar / Refreshment Stand,Black Rd  Sault Ste Marie ON P6A 5N5,16-Aug-2023,Snack Bar / Refreshment Stand,location.href = '/Portal/Facility/Details/0d5a4572-4f09-4cb6-960a-f9da93159fef' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0d5a4572-4f09-4cb6-960a-f9da93159fef
Sowerby Hall - Community Kitchen,1410-Basswood Lake Rd  Iron Bridge ON P0R 1H0,18-Jul-2022,Community Kitchen,location.href = '/Portal/Facility/Details/743c3303-5033-4bbf-ba6c-5c6e93eb0023' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/743c3303-5033-4bbf-ba6c-5c6e93eb0023
Special Occasions - Food Caterer,26 Oakland Blvd  Elliot Lake ON P5A 2T1,23-Aug-2023,Food Caterer,location.href = '/Portal/Facility/Details/292b3936-9edd-411d-82fd-6511e9b0e9c6' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/292b3936-9edd-411d-82fd-6511e9b0e9c6
Sportscentre Bar & Grill - Restaurant,2B-624 Wellington Street W  Sault Ste. Marie ON P6C 3T9,07-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/3fc7d823-a8a5-4884-8087-d24102ce85bb' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3fc7d823-a8a5-4884-8087-d24102ce85bb
Sportsman's Grill & Restaurant - Restaurant,9142-Highway 17 E  Bruce Mines ON P0R 1C0,04-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/75632c91-645f-451a-bd4b-02f229ee3b10' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/75632c91-645f-451a-bd4b-02f229ee3b10
St Bernadettes Parish - Community Kitchen,45 Spruce Ave  Elliot Lake ON P5A 2B7,13-Dec-2023,Community Kitchen,location.href = '/Portal/Facility/Details/fa7d3687-ecfc-401a-ae2a-15e31aaaa412' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/fa7d3687-ecfc-401a-ae2a-15e31aaaa412
St. Ambrose Catholic Church - Church Banquet Facility,286-Water Street  Thessalon ON P0R 1L0,14-Dec-2023,Church Banquet Facility,location.href = '/Portal/Facility/Details/aa5fb9d2-b929-42a4-9979-3f61e6cb9903' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/aa5fb9d2-b929-42a4-9979-3f61e6cb9903
St. Andrews United Church Banquet Hall - Church Banquet Facility,25 Centre St  Blind River ON P0R1B0,27-Sep-2022,Church Banquet Facility,location.href = '/Portal/Facility/Details/13df99c8-4bae-46d8-9178-15085590313c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/13df99c8-4bae-46d8-9178-15085590313c
St. Augustine French Immersion Catholic School - Elementary School,2 Arnott St  Wawa ON P0S 1K0,22-Apr-2024,Elementary School,location.href = '/Portal/Facility/Details/b26f1167-20a5-45d8-b5d1-5fdc53b72cbd' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/b26f1167-20a5-45d8-b5d1-5fdc53b72cbd
St. Basil Catholic Elementary School White River - Elementary School,300 Spruce Street  White River ON P0M 3G0,01-Dec-2023,Elementary School,location.href = '/Portal/Facility/Details/b2543afb-c795-4128-86b6-7411e06c98a1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/b2543afb-c795-4128-86b6-7411e06c98a1
St. Basils Catholic School - Elementary School,250 St. Georges Ave E  Sault Ste. Marie ON P6B 1X5,22-Feb-2024,Elementary School,location.href = '/Portal/Facility/Details/8614e3f3-d7bb-4544-a6d5-bc03b4dd904a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8614e3f3-d7bb-4544-a6d5-bc03b4dd904a
St. Francis French Immersion Catholic School - Elementary School,147 Brookfield Ave  Sault Ste. Marie ON P6C 5P2,15-Feb-2024,Elementary School,location.href = '/Portal/Facility/Details/d929c280-43e8-4143-8a43-da3c4c62e6f7' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d929c280-43e8-4143-8a43-da3c4c62e6f7
St. James the Greater Church - Church Banquet Facility,44 Lakeside Ave  Blind River ON P0R1B0,02-Nov-2023,Church Banquet Facility,location.href = '/Portal/Facility/Details/ddcd6683-b806-46bb-aebd-198b260a8f97' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ddcd6683-b806-46bb-aebd-198b260a8f97
St. Joseph Island Central Public School - Elementary School,1326 Richards St  Richard's Landing ON P0R 1J0,20-Mar-2024,Elementary School,location.href = '/Portal/Facility/Details/64142f2d-eb64-4ba4-b104-b3797d66e92e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/64142f2d-eb64-4ba4-b104-b3797d66e92e
St. Joseph Island Hunters and Anglers Association Conservation Centre - Community Kitchen,1802 20th Side Rd  St. Joseph Island ON P0R 1J0,16-Jan-2024,Community Kitchen,location.href = '/Portal/Facility/Details/ba465faa-67c4-41d6-813b-bd0d7c3a5d3c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ba465faa-67c4-41d6-813b-bd0d7c3a5d3c
St. Joseph Island Lions Club Popcorn Trailer - Mobile Preparation Premises,1210 Richards St  Richards Landing ON P0R 1J0,06-Sep-2023,Mobile Preparation Premises,location.href = '/Portal/Facility/Details/2153c1f1-2466-4c3d-8198-370944aba89c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/2153c1f1-2466-4c3d-8198-370944aba89c
St. Joseph Manor - Long Term Care Facility,70 Spine Road  Elliot Lake ON,08-Feb-2024,Long Term Care Facility,location.href = '/Portal/Facility/Details/ad4af5b3-771f-4db3-ab44-0c3ae752e1e1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ad4af5b3-771f-4db3-ab44-0c3ae752e1e1
St. Joseph's General Hospital - Cafeteria,70 Spine Road  Elliot Lake ON P5A 1X2,08-Feb-2024,Cafeteria,location.href = '/Portal/Facility/Details/d69d9df1-0658-4965-a1ae-1bb32c346f5e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d69d9df1-0658-4965-a1ae-1bb32c346f5e
St. Mary's Catholic School - Elementary School,25 Michigan Ave  Blind River ON P0R 1B0,,Elementary School,location.href = '/Portal/Facility/Details/ba7316b9-2535-4f49-b876-b788b9b5eeae' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ba7316b9-2535-4f49-b876-b788b9b5eeae
St. Mary's College - Secondary School,868 Second Line  Sault Ste. Marie ON,11-Sep-2023,Secondary School,location.href = '/Portal/Facility/Details/118986de-810b-46a5-92b9-7136bf11c6bb' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/118986de-810b-46a5-92b9-7136bf11c6bb
St. Mary's College: High Skills Major Hospitality and Tourism - Learning Kitchen,868 Second Line E  Sault Ste. Marie ON P6B 4K4,,Learning Kitchen,location.href = '/Portal/Facility/Details/94022d15-caa8-489c-a4ba-14833f70106b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/94022d15-caa8-489c-a4ba-14833f70106b
St. Mary's French Immersion Catholic School - Elementary School,124 Gibb St  Sault Ste. Marie ON P6A 5H6,16-Feb-2024,Elementary School,location.href = '/Portal/Facility/Details/432f465c-dd41-4593-817b-4ee998276659' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/432f465c-dd41-4593-817b-4ee998276659
St. Mary's Ukrainian Church - Church Banquet Facility,293 St. George's Avenue E  Sault Ste. Marie ON P6B 1X6,26-Oct-2023,Church Banquet Facility,location.href = '/Portal/Facility/Details/9d111fa0-84e8-4dbf-bc2f-d6da28ab9f7d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/9d111fa0-84e8-4dbf-bc2f-d6da28ab9f7d
St. Paul Catholic Elementary School - Elementary School,78 Dablon St  Sault Ste. Marie ON P6B 5E6,24-Jan-2024,Elementary School,location.href = '/Portal/Facility/Details/63663bc6-7ac7-4414-bfc8-1c1f9bf5f82f' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/63663bc6-7ac7-4414-bfc8-1c1f9bf5f82f
St. Vincent Place - Food Bank - Food Bank,222 Albert St E  Sault Ste. Marie ON P6A 2J4,27-Feb-2024,Food Bank,location.href = '/Portal/Facility/Details/cc016010-7625-43d5-a56c-055d0da78b5a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/cc016010-7625-43d5-a56c-055d0da78b5a
Stackburger - Restaurant,71 Spring St  Sault Ste. Marie ON P6A 2Z9,11-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/d5a618c8-ae3b-4d15-9756-05c30192a7b2' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d5a618c8-ae3b-4d15-9756-05c30192a7b2
Stacked Pancake House and Breakfast - Restaurant,9-248 Northern Avenue  Sault St. Marie,17-Apr-2024,Restaurant,location.href = '/Portal/Facility/Details/73a156c5-d93e-452b-8312-88fdc912b53b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/73a156c5-d93e-452b-8312-88fdc912b53b
Starbucks - Delta Hotel - Restaurant,208 St. Mary's River Drive  Sault Ste Marie ON P6A 5V4,01-Mar-2023,Restaurant,location.href = '/Portal/Facility/Details/beb49251-d78b-4c4e-a420-5b2663a6aa22' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/beb49251-d78b-4c4e-a420-5b2663a6aa22
Starbucks #62818 - Restaurant,2C-625 Trunk Rd  Sault Ste. Marie ON P6A 3T1,02-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/46136666-0edf-4c65-9266-3e5c005d7fc6' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/46136666-0edf-4c65-9266-3e5c005d7fc6
Starbucks Coffee - Restaurant,168 Great Northern Road  Sault Ste Marie ON P6B 4Z3,16-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/94c6fc65-5c39-4a34-9da8-50246db3196a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/94c6fc65-5c39-4a34-9da8-50246db3196a
Stock and Broth - Food Warehouse / Depot,1510 Wellington Street East  Sault Ste Marie ON P6A 2R2,06-Dec-2023,Food Warehouse / Depot,location.href = '/Portal/Facility/Details/d8b1fdf6-cd2c-42bc-96cd-e0def836eced' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d8b1fdf6-cd2c-42bc-96cd-e0def836eced
Stokely Creek Lodge - Restaurant,194 Pickard Rd  Goulais River ON P0S 1E0,22-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/dcd65a9e-4390-4ce1-ab7a-0049d1f6cac0' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/dcd65a9e-4390-4ce1-ab7a-0049d1f6cac0
Stone Ridge Golf Course - Restaurant,Nordic Min-71 Nordic Townsite  Elliot Lake ON P5A 2S9,25-Aug-2023,Restaurant,location.href = '/Portal/Facility/Details/adb0ebe7-d765-4218-af18-0392797f2b45' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/adb0ebe7-d765-4218-af18-0392797f2b45
Strathclair Sports Complex - Snack Bar / Refreshment Stand,Second Line E  Sault Ste. Marie ON,08-Aug-2023,Snack Bar / Refreshment Stand,location.href = '/Portal/Facility/Details/2d0d8f7b-8e07-449b-9d52-50b7615f978a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/2d0d8f7b-8e07-449b-9d52-50b7615f978a
Stub-bee's Bistro - Restaurant,1581 Bridge  Rd Richards Landing ON P0R 1J0,05-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/9ea4ad26-0a1a-451f-977c-e9a5d4b5c5f1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/9ea4ad26-0a1a-451f-977c-e9a5d4b5c5f1
Subway - Restaurant,153 Great Northern Rd  Sault Ste. Marie ON P6B 4Y9,12-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/4f95253b-b430-40d4-bf42-f8615593a002' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4f95253b-b430-40d4-bf42-f8615593a002
Subway - Restaurant,210 Hwy 17 W  White River ON P0M 3G0,15-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/38edc738-a4d3-435a-ab05-f9a08d1c5f50' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/38edc738-a4d3-435a-ab05-f9a08d1c5f50
Subway - Restaurant,Hillside P-275 Hillside Dr South  Elliot Lake ON P5A 1N7,02-Aug-2023,Restaurant,location.href = '/Portal/Facility/Details/6ccd14e2-8dad-472d-87a6-d5f1f7f61796' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6ccd14e2-8dad-472d-87a6-d5f1f7f61796
Subway - Restaurant,421 Bay St  Sault Ste. Marie ON P6A 1X3,17-Apr-2023,Restaurant,location.href = '/Portal/Facility/Details/4eee89af-1e90-495f-b441-b99a7ce08c2d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4eee89af-1e90-495f-b441-b99a7ce08c2d
Subway - Restaurant,25 Drive In Rd  Sault Ste. Marie ON P6B 5X5,15-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/416396d9-5993-4847-a59d-bd581a1edd12' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/416396d9-5993-4847-a59d-bd581a1edd12
Subway - Restaurant,293 Bay St  Sault Ste. Marie ON P6A 1X3,03-May-2023,Restaurant,location.href = '/Portal/Facility/Details/f1379bd9-0804-4a75-b2e5-0325005f5322' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f1379bd9-0804-4a75-b2e5-0325005f5322
Subway - Restaurant,27 Mission Road  Wawa ON P0S 1K0,05-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/89773b16-4c25-4ad0-b595-1c2c60194fdd' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/89773b16-4c25-4ad0-b595-1c2c60194fdd
Subway - Restaurant,216 Second Line W  Sault Ste. Marie ON P6C 2J3,06-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/8c44b786-9d36-44aa-9fb2-5a9418222b49' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8c44b786-9d36-44aa-9fb2-5a9418222b49
Subway - Restaurant,150 Churchill Blvd.  Sault Ste. Marie ON P6A 3Z9,18-Apr-2024,Restaurant,location.href = '/Portal/Facility/Details/43cd04f6-6edb-449a-a09e-a7ccde88bc32' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/43cd04f6-6edb-449a-a09e-a7ccde88bc32
Subway - Restaurant,443 Northern Ave  Sault Ste Marie ON P6A 5L3,15-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/f5b3f418-964d-4fad-a23a-9a4ec9926799' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f5b3f418-964d-4fad-a23a-9a4ec9926799
Subway #20968 - Restaurant,625 Trunk Rd  Sault Ste. Marie ON P6A 3T1,13-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/cab41bca-0079-4cdf-ad4f-a5d2ef3a033d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/cab41bca-0079-4cdf-ad4f-a5d2ef3a033d
Subway Blind River - Restaurant,225 Causley St  Blind River ON P0R 1B0,13-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/d9933bf6-fa1b-49ae-8eb5-6d77fc69e4ad' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d9933bf6-fa1b-49ae-8eb5-6d77fc69e4ad
Sugar Shack SDWS#82631HDJW (Conservation Authority) - Banquet Hall,1100 Fifth Line E  Sault Ste. Marie ON P6A 5K7,,Banquet Hall,location.href = '/Portal/Facility/Details/c97d2681-b49d-48e0-affc-1a6770638149' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/c97d2681-b49d-48e0-affc-1a6770638149
Sun Kwong Restaurant - Restaurant,368 Queen St E  Sault Ste. Marie ON P6A 1Z1,27-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/15a82231-14bc-4a4a-9d2a-f82517ec2cef' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/15a82231-14bc-4a4a-9d2a-f82517ec2cef
Sunset Beach Family Restaurant - Restaurant,47 Frances St  Thessalon ON P0R 1L0,11-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/d631793a-e5e0-4d25-8748-680309848e3b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/d631793a-e5e0-4d25-8748-680309848e3b
Sunset Noodle House - Restaurant,133 Spring  Sault Ste. Marie ON P6A 3A2,13-Dec-2023,Restaurant,location.href = '/Portal/Facility/Details/b6c739de-34c6-467c-9aba-9720ff705633' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/b6c739de-34c6-467c-9aba-9720ff705633
Sunset Noodle House - Sunset Shores - Restaurant,10243 Highway 17 N  Batchawana ON P0S 1A0,18-Aug-2023,Restaurant,location.href = '/Portal/Facility/Details/9414c8c1-ddfe-4f40-9b7a-9ac9c38b9662' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/9414c8c1-ddfe-4f40-9b7a-9ac9c38b9662
Superior Children's Centre - Best Start Hub - Child Care Centre Kitchen,66 Broadway Ave  Wawa ON P0S 1K0,27-Nov-2023,Child Care Centre Kitchen,location.href = '/Portal/Facility/Details/eba79ed5-438c-4e19-9258-8796a0bca851' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/eba79ed5-438c-4e19-9258-8796a0bca851
Superior Children's Centre - Child Care Centre Kitchen,41 Algoma Ave  Wawa ON P0S 1K0,14-Mar-2024,Child Care Centre Kitchen,location.href = '/Portal/Facility/Details/19dd661a-77ae-40f6-b40f-e46dafac2bb2' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/19dd661a-77ae-40f6-b40f-e46dafac2bb2
Superior Heights Collegiate & Vocational School - Secondary School,750-North Sreet  Sault Ste. Marie ON P6B 2C5,28-Feb-2024,Secondary School,location.href = '/Portal/Facility/Details/b5bc9db7-2942-40a9-a5e6-080977fb7864' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/b5bc9db7-2942-40a9-a5e6-080977fb7864
Superior Heights Culinary Arts & Management - Learning Kitchen,750-North St  Sault Ste Marie ON P6B 2C5,09-Jan-2024,Learning Kitchen,location.href = '/Portal/Facility/Details/8ae53359-c3ca-4779-84df-63d3ac66d409' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8ae53359-c3ca-4779-84df-63d3ac66d409
Superior Home Bakery - Bakery - Production,438 Great Northern Rd  Sault Ste. Marie ON P6B 4Z9,30-Apr-2024,Bakery - Production,location.href = '/Portal/Facility/Details/0f0d3988-3480-45be-966d-c54bc5fa85e5' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0f0d3988-3480-45be-966d-c54bc5fa85e5
Sushi Boba - Food Take Out,150 Churchill Bvd.  Sault Ste Marie ON,03-Jan-2024,Food Take Out,location.href = '/Portal/Facility/Details/9249ec4f-75d5-4eae-b34a-5ca4e8964347' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/9249ec4f-75d5-4eae-b34a-5ca4e8964347
Sweet Bea's Cookies - Home Based Food Inspection,21 Langdon Crescent  Sault Ste. Marie ON P6C 3G6,,Home Based Food Inspection,location.href = '/Portal/Facility/Details/abee2621-d9ae-40bc-90a3-900633f54a5f' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/abee2621-d9ae-40bc-90a3-900633f54a5f
Sweet Change - Bakery - Production,3 Queen St E  Sault Ste Marie ON P6A 5S2,02-Mar-2023,Bakery - Production,location.href = '/Portal/Facility/Details/4ba04c97-e5b7-403e-ba8b-3ac85325d512' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4ba04c97-e5b7-403e-ba8b-3ac85325d512
Sweet Greetings - Convenience / Variety,197 Trunk Road  Sault Ste. Marie ON,24-Jan-2024,Convenience / Variety,location.href = '/Portal/Facility/Details/a39bd142-1af3-46b1-8995-548eb14fbb1d' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/a39bd142-1af3-46b1-8995-548eb14fbb1d
Sweet Greetings - Convenience / Variety,302 Queen Street  Sault Ste. Marie ON,24-Jan-2024,Convenience / Variety,location.href = '/Portal/Facility/Details/134a3b80-84ad-459f-8ec6-aa21c22afceb' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/134a3b80-84ad-459f-8ec6-aa21c22afceb
Sweet Greetings - Food Take Out,275 Second Line West  Sault Ste Marie ON P6A 1Z5,05-Apr-2024,Food Take Out,location.href = '/Portal/Facility/Details/b5e54399-e59e-4928-b4f8-e95c4cd3d484' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/b5e54399-e59e-4928-b4f8-e95c4cd3d484
Sweet Notes - Baked Goods - Retail,575 Granary Lake Rd  Blind River ON P0R 1B0,,Baked Goods - Retail,location.href = '/Portal/Facility/Details/4b31a02f-ca26-4fbb-b688-a77dc7b669b0' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4b31a02f-ca26-4fbb-b688-a77dc7b669b0
Sweet Sisters - Home Based Food Inspection,"70 First Ave  Wawa, PO Bos 1574 ON P0S 1K0",14-Apr-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/8b6d4804-11e4-4570-83bd-15e95657d4b0' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/8b6d4804-11e4-4570-83bd-15e95657d4b0
Sweet Treats...Good Eats... - Home Based Food Inspection,99 Gravelle Street  Sault Ste. Marie ON P6A 7A3,24-Oct-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/95de49b9-e579-44a2-bf6f-62d3ee6ad8c4' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/95de49b9-e579-44a2-bf6f-62d3ee6ad8c4
Sweet Twisted Treats - Home Based Food Inspection,464 Henry St  Sault Ste. Marie ON P6C 2W6,,Home Based Food Inspection,location.href = '/Portal/Facility/Details/499a67bb-7084-4bca-82d6-bab12a0cb2a3' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/499a67bb-7084-4bca-82d6-bab12a0cb2a3
Sweetz - Home Based Food Inspection,362 Langdon Rd  Sault Ste. Marie ON P6C 2Y3,04-Aug-2023,Home Based Food Inspection,location.href = '/Portal/Facility/Details/ce3c1d0f-96c3-4ca8-aa54-f4233da154e5' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ce3c1d0f-96c3-4ca8-aa54-f4233da154e5
Swiss Chalet - Restaurant,290 Hillside Drive South  Elliot Lake ON P5A1N8,16-Oct-2023,Restaurant,location.href = '/Portal/Facility/Details/32e14750-9b36-452c-9c08-2291b82148a4' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/32e14750-9b36-452c-9c08-2291b82148a4
Swiss Chalet - Restaurant,332 Great Northern Rd  Sault Ste. Marie ON P6B 4Z7,22-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/0311390c-04c6-4595-8963-44705df2d39a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0311390c-04c6-4595-8963-44705df2d39a
Sylvan Valley Hall - Banquet Hall,PO Box 10  Echo Bay ON P0S 1C0,23-Jun-2023,Banquet Hall,location.href = '/Portal/Facility/Details/638aeb13-0c19-48af-8a20-42cf7b53da3a' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/638aeb13-0c19-48af-8a20-42cf7b53da3a
Syrian Table - Food Take Out,73 Brock St.  Sault Ste. Marie ON,16-Apr-2024,Food Take Out,location.href = '/Portal/Facility/Details/ec382158-2ce6-4732-a539-0c08611745e2' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/ec382158-2ce6-4732-a539-0c08611745e2
T&R Variety - Convenience / Variety,2-10 Paris Drive  Elliot Lake ON P5A 2L9,30-Aug-2023,Convenience / Variety,location.href = '/Portal/Facility/Details/6dd18e5c-f9ef-4e19-9577-b0766708c4e2' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/6dd18e5c-f9ef-4e19-9577-b0766708c4e2
Taco Bell - Food Take Out,293 Bay St  Sault Ste. Marie ON P6A 1X3,09-Jan-2024,Food Take Out,location.href = '/Portal/Facility/Details/0445c7e1-2881-4da7-a7ec-686f67863164' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/0445c7e1-2881-4da7-a7ec-686f67863164
Tandoori Gardan - Restaurant,663 Queen St E  Sault Ste. Marie ON P6A 2A6,12-Mar-2024,Restaurant,location.href = '/Portal/Facility/Details/f4f544d1-d423-4f17-ba8d-0ecd58a855a2' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f4f544d1-d423-4f17-ba8d-0ecd58a855a2
Tarbutt Community Hall - Banquet Hall,762-Mac Lennan Rd  Echo Bay ON P0R 1E0,,Banquet Hall,location.href = '/Portal/Facility/Details/01fc0b4e-ed1b-413b-86bb-cb156b075878' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/01fc0b4e-ed1b-413b-86bb-cb156b075878
